city,date,precipitation,temp_max,temp_min,wind_speed,humidity_mean,humidity_max,humidity_min,dew_point,aqi_t+1
agra,2025-06-01,1.4000001,37.080498,26.530499,13.737904,51.336365,78.23794,29.800358,18.553415,73.0
agra,2025-06-02,0.0,35.4805,26.1805,12.682018,53.495316,68.531784,32.74834,19.028414,65.0
agra,2025-06-03,3.1,36.580498,23.780499,13.971756,54.075256,81.53589,28.825064,18.513832,90.0
agra,2025-06-04,0.0,36.9805,24.530499,11.792404,46.65047,74.64418,24.242136,16.76175,78.0
agra,2025-06-05,0.3,37.1305,25.630499,16.848999,41.04125,60.76189,28.879517,16.657581,82.0
agra,2025-06-06,0.0,40.8805,27.4305,14.083778,36.228405,52.413548,21.29525,16.643,94.0
agra,2025-06-07,0.0,42.5305,28.8305,12.56008,34.037163,50.655357,20.615322,17.093,111.0
agra,2025-06-08,0.0,43.6805,29.130499,16.45204,31.035501,48.54122,16.02881,15.982581,90.0
agra,2025-06-09,0.0,42.9305,29.880499,21.976223,25.881409,38.97424,15.605956,13.357583,116.0
agra,2025-06-10,0.0,42.7305,30.7305,16.344357,30.79553,54.416374,17.983532,16.149248,118.0
agra,2025-06-11,0.0,43.2305,31.9305,13.14493,37.429615,52.42672,24.95782,20.149248,120.0
agra,2025-06-12,0.0,43.080498,32.4305,16.818203,39.97404,55.45325,24.30522,20.9805,113.0
agra,2025-06-13,0.0,42.6305,32.2305,13.350371,40.857876,60.323814,24.524502,21.143,127.0
agra,2025-06-14,0.0,38.580498,30.280499,16.029097,46.98473,64.65346,35.425583,21.845083,82.0
agra,2025-06-15,14.6,36.1305,25.880499,22.714973,68.92941,92.55418,52.02333,24.643,97.0
agra,2025-06-16,4.8999996,39.2805,26.7305,21.304731,63.70046,88.02362,34.93552,23.576334,76.0
agra,2025-06-17,0.2,34.7305,26.4805,11.238113,75.45087,93.69441,56.292297,25.195082,34.0
agra,2025-06-18,30.600004,31.780499,25.0805,13.523978,85.220955,96.20854,71.03706,25.528418,49.0
